nome                                        | form_type  | tipo
Msc Grandiosa (2)                           | cruzeiro   | cruzeiro
Msc Lirica                                  | cruzeiro   | cruzeiro
Msc Lirica (1)                              | cruzeiro   | cruzeiro
Msc Lirica (2)                              | cruzeiro   | cruzeiro
Msc Lirica (3)                              | cruzeiro   | cruzeiro
Msc Magnifica                               | cruzeiro   | cruzeiro
Msc Meraviglia                              | cruzeiro   | cruzeiro
Msc Musica                                  | cruzeiro   | cruzeiro
Msc Opera                                   | cruzeiro   | cruzeiro
Msc Orchestra                               | cruzeiro   | cruzeiro
Msc Poesia                                  | cruzeiro   | cruzeiro
Msc Preciosa                                | cruzeiro   | cruzeiro
Msc Preciosa (2)                            | cruzeiro   | cruzeiro
Msc Precioza                                | cruzeiro   | cruzeiro
Msc Seascape                                | cruzeiro   | cruzeiro
Msc Seashore                                | cruzeiro   | cruzeiro
Msc Seaside                                 | cruzeiro   | cruzeiro
Msc Seaside (2)                             | cruzeiro   | cruzeiro
Msc Seaview                                 | cruzeiro   | cruzeiro
Msc Seaview (2)                             | cruzeiro   | cruzeiro
Msc Sinfonia                                | cruzeiro   | cruzeiro
Msc Splendida                               | cruzeiro   | cruzeiro
Msc Virtuosa                                | cruzeiro   | cruzeiro
Msc World America                           | cruzeiro   | cruzeiro
Msc World Of Europa                         | cruzeiro   | cruzeiro
Mscarmonia                                  | cruzeiro   | cruzeiro
Natal                                       | pacote     | destino
Natal                                       | pacote     | destino
Natal                                       | pacote     | destino
NATAL                                       | todos      | destino
NATAL                                       | todos      | destino
NATAL                                       | todos      | destino
Nauticomar Resort                           | hotel      | hotel
Nauticomar Resort                           | hotel      | hotel
Norwegian Aqua                              | cruzeiro   | cruzeiro
Norwegian Aqua (2)                          | cruzeiro   | cruzeiro
Norwegian Bliss                             | cruzeiro   | cruzeiro
Norwegian Bliss                             | cruzeiro   | cruzeiro
Norwegian Breakaway                         | cruzeiro   | cruzeiro
Norwegian Cruise Line                       | cruzeiro   | cruzeiro
Norwegian Dawn                              | cruzeiro   | cruzeiro
Norwegian Dream                             | cruzeiro   | cruzeiro
Norwegian Encore                            | cruzeiro   | cruzeiro
Norwegian Encore                            | cruzeiro   | cruzeiro
Norwegian Encore                            | cruzeiro   | cruzeiro
Norwegian Encore                            | cruzeiro   | cruzeiro
Norwegian Encore3 (1)                       | cruzeiro   | cruzeiro
Norwegian Escape                            | cruzeiro   | cruzeiro
Norwegian Escape (2)                        | cruzeiro   | cruzeiro
Norwegian Gem                               | cruzeiro   | cruzeiro
Norwegian Getaway                           | cruzeiro   | cruzeiro
Norwegian Getaway                           | cruzeiro   | cruzeiro
Norwegian Joy                               | cruzeiro   | cruzeiro
Norwegian Joy                               | cruzeiro   | cruzeiro
Norwegian Pearl                             | cruzeiro   | cruzeiro
Norwegian Pearl                             | cruzeiro   | cruzeiro
Norwegian Pearl                             | cruzeiro   | cruzeiro
Norwegian Sky                               | cruzeiro   | cruzeiro
Norwegian Spirit                            | cruzeiro   | cruzeiro
Norwegian Spirit                            | cruzeiro   | cruzeiro
Norwegian Star                              | cruzeiro   | cruzeiro
Norwegian Star                              | cruzeiro   | cruzeiro
Norwegian Sun                               | cruzeiro   | cruzeiro
Norwegian Viva                              | cruzeiro   | cruzeiro
Norwegian Viva                              | cruzeiro   | cruzeiro
Norwegian Viva                              | cruzeiro   | cruzeiro
Norwegian Viva                              | cruzeiro   | cruzeiro
Ocapora                                     | pacote     | destino
Ocean Palace Beach Resort E Bungalows       | hotel      | hotel
Oceania Cruises Allura                      | cruzeiro   | cruzeiro
Oceania Cruises Insignia                    | cruzeiro   | cruzeiro
Oceania Cruises Insignia                    | cruzeiro   | cruzeiro
Oceania Cruises Marina                      | cruzeiro   | cruzeiro
Oceania Cruises Marina                      | cruzeiro   | cruzeiro
Oceania Cruises Nautica                     | cruzeiro   | cruzeiro
Oceania Cruises Nautica                     | cruzeiro   | cruzeiro
Oceania Cruises Regatta                     | cruzeiro   | cruzeiro
Oceania Cruises Riviera                     | cruzeiro   | cruzeiro
Oceania Cruises Riviera (2)                 | cruzeiro   | cruzeiro
Oceania Cruises Riviera (3)                 | cruzeiro   | cruzeiro
Oceania Cruises Sirena                      | cruzeiro   | cruzeiro
Oceania Cruises Sirena                      | cruzeiro   | cruzeiro
Oceania Cruises Vista                       | cruzeiro   | cruzeiro
Oceania Cruises Vista (2)                   | cruzeiro   | cruzeiro
Orlando                                     | pacote     | destino
Orlando                                     | pacote     | destino
ORLANDO                                     | todos      | destino
ORLANDO                                     | todos      | destino
Paris                                       | pacote     | destino
Paris                                       | pacote     | destino
PARIS                                       | todos      | destino
PARIS                                       | todos      | destino
Pipa                                        | pacote     | destino
PIPA                                        | todos      | destino
PORTO                                       | todos      | destino
Porto Alegre                                | pacote     | destino
PORTO ALEGRE                                | todos      | destino
Porto De Galinhas                           | pacote     | destino
PORTO DE GALINHAS                           | todos      | destino
PORTO DE GALINHAS                           | todos      | destino
Porto Seguro                                | pacote     | destino
PORTO SEGURO                                | todos      | destino
PORTO SEGURO                                | todos      | destino
PORTO SEGURO                                | todos      | destino
Porto Seguro Praia Resort                   | hotel      | hotel
Portodegalinhas                             | pacote     | destino
Portoportugal                               | pacote     | destino
Portoseguro                                 | pacote     | destino
Portoseguro                                 | pacote     | destino
Pratagy                                     | hotel      | hotel
Pratagy                                     | hotel      | hotel
Princess - Royal                            | cruzeiro   | cruzeiro
Princess Cruise - Caribbean Princess        | cruzeiro   | cruzeiro
Princess Cruise - Crown Princess            | cruzeiro   | cruzeiro
Princess Cruise - Crown Princess (2)        | cruzeiro   | cruzeiro
Princess Cruise - Diamond Princess          | cruzeiro   | cruzeiro
Princess Cruise - Diamond Princess          | cruzeiro   | cruzeiro
Princess Cruise - Discovery Princess        | cruzeiro   | cruzeiro
Princess Cruise - Enchanted Princess        | cruzeiro   | cruzeiro
Princess Cruise - Enchanted Princess        | cruzeiro   | cruzeiro
Princess Cruise - Enchanted Princess        | cruzeiro   | cruzeiro
Princess Cruise - Majestic Princess         | cruzeiro   | cruzeiro
Princess Cruise - Majestic Princess (2)     | cruzeiro   | cruzeiro
Princess Cruise - Pacific Princess          | cruzeiro   | cruzeiro
Princess Cruise - Regal Princess            | cruzeiro   | cruzeiro
Princess Cruise - Sky Princess              | cruzeiro   | cruzeiro
Princess Cruise - Star Princess             | cruzeiro   | cruzeiro
